Text,Price,Year,Page
"Honda INSIGHT ZE3 2013 Car
Colombo
Rs. 7,675,000
120000 (km)
2025-12-14","Rs. 7,675,000",2013,12
"Toyota Axio Wxb 2019 Car
Hambantota
Rs. 13,750,000
110000 (km)
2025-12-14","Rs. 13,750,000",2019,12
"Suzuki Alto Japan 2024 Car
Pannipitiya
Rs. 6,950,000
5600 (km)
2025-12-14","Rs. 6,950,000",2024,12
"Home / All Ads / Car
Displaying 480 - 520 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Toyota Axio ","Rs. 7,260,000",2007,13
"Home / All Ads / Car
Displaying 480 - 520 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Toyota Axio ","Rs. 7,260,000",2007,13
"Toyota Axio X Grade 2007 Car
Colombo
Rs. 7,260,000
184000 (km)
2025-12-05","Rs. 7,260,000",2007,13
"Toyota Vitz 2016 Car
Nugegoda
Rs. 7,100,000
140000 (km)
2025-12-13","Rs. 7,100,000",2016,13
"Suzuki Wagon R 2024 Car
Kurunegala
Rs. 7,550,000
2000 (km)
2025-12-10","Rs. 7,550,000",2024,13
"Suzuki WAGON R FX 2024 Car
Malabe
Rs. 7,490,000
6031 (km)
2025-12-14","Rs. 7,490,000",2024,13
"Suzuki Hustler 2016 Car
Kadawatha
Rs. 6,050,000
110000 (km)
2025-12-14","Rs. 6,050,000",2016,13
"Honda Grace Sensing 2018 Car
Kurunegala
Rs. 10,750,000
120000 (km)
2025-12-14","Rs. 10,750,000",2018,13
"Mitsubishi Lancer Box 1982 Car
Bandaragama
Rs. 1,275,000
12345 (km)
2025-12-14","Rs. 1,275,000",1982,13
"Toyota AQUA 2015 Car
Dehiwala-Mount-Lavinia
Rs. 8,200,000
90000 (km)
2025-12-14","Rs. 8,200,000",2015,13
"Dehiwala-Mount-Lavinia
Rs. 8,200,000
90000 (km)
2025-12-14","Rs. 8,200,000",2025,13
"Micro Panda 2012 Car
Nittambuwa
Rs. 2,475,000
75000 (km)
2025-12-14","Rs. 2,475,000",2012,13
"Suzuki Swift RS 2017 Car
Moratuwa
Rs. 8,200,000
75000 (km)
2025-12-14",RS 2017,2017,13
"Suzuki Alto 800 LXI 2014 Car
Negombo
Rs. 3,590,000
190000 (km)
2025-12-14","Rs. 3,590,000",2014,13
"Toyota Corolla Axio 2007 Car
Kadawatha
Rs. 7,425,000
154566 (km)
2025-12-14","Rs. 7,425,000",2007,13
"Suzuki Wagon R FZ 2016 Car
Kegalle
Rs. 5,690,000
112000 (km)
2025-12-14","Rs. 5,690,000",2016,13
"Toyota AQUA G GRADE HYBRID 2022 Car
Boralesgamuwa
Rs. 12,890,000
23000 (km)
2025-12-14","Rs. 12,890,000",2022,13
"Home / All Ads / Car
Displaying 520 - 560 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Suzuki Wagon","Rs. 7,550,000",2024,14
"Home / All Ads / Car
Displaying 520 - 560 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Suzuki Wagon","Rs. 7,550,000",2024,14
"Suzuki Wagon R 2024 Car
Kurunegala
Rs. 7,550,000
2000 (km)
2025-12-10","Rs. 7,550,000",2024,14
"Suzuki WAGON R FX SAFETY 2024 Car
Veyangoda
Rs. 7,125,000
13400 (km)
2025-12-10","Rs. 7,125,000",2024,14
"Toyota PASSO 2009 Car
Dompe
Rs. 5,250,000
116500 (km)
2025-12-10","Rs. 5,250,000",2009,14
"Nissan N16 2005 Car
Gampaha
Rs. 4,150,000
125874 (km)
2025-12-14","Rs. 4,150,000",2005,14
"Toyota Vitz KSP90 2008 Car
Horana
Rs. 5,800,000
135000 (km)
2025-12-14","Rs. 5,800,000",2008,14
"Toyota Axio G Grade Hybrid 2015 Car
Kuliyapitiya
Rs. 10,300,000
190000 (km)
2025-12-14","Rs. 10,300,000",2015,14
"Suzuki Wagon R Stingray MH55S 2017 Car
Minuwangoda
Rs. 7,200,000
110410 (km)
2025-12-14","Rs. 7,200,000",2017,14
"Toyota Aqua 2012 Car
Galle
Rs. 7,250,000
131000 (km)
2025-12-14","Rs. 7,250,000",2012,14
"Suzuki Wagon ZX Up Grade 2024 Car
Colombo
Rs. 8,475,000
4900 (km)
2025-12-14","Rs. 8,475,000",2024,14
"Toyota Premio 2010 Car
Colombo
Rs. 9,375,000
180000 (km)
2025-12-14","Rs. 9,375,000",2010,14
"Fiat Uno 1998 Car
Puttalam
Rs. 1,275,000
2025-12-14","Rs. 1,275,000",1998,14
"Toyota Yaris 2024 Car
Kandy
Rs. 9,400,000
31000 (km)
2025-12-14","Rs. 9,400,000",2024,14
"Toyota Corolla 121 2003 Car
Kurunegala
Rs. 6,250,000
151000 (km)
2025-12-14","Rs. 6,250,000",2003,14
"Suzuki Wagon R Stingray Turbo 2024 Car
Kandy
Rs. 9,400,000
4000 (km)
2025-12-14","Rs. 9,400,000",2024,14
"Suzuki DBAZC713 2009 Car
Chilaw
Rs. 6,100,000
89216 (km)
2025-12-14","Rs. 6,100,000",2009,14
"Home / All Ads / Car
Displaying 560 - 600 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Suzuki Wagon","Rs. 6,7",2024,15
"Home / All Ads / Car
Displaying 560 - 600 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Suzuki Wagon","Rs. 6,7",2024,15
"Suzuki Wagon R FX Safety Personal Imp 2024 Car
Colombo
Rs. 6,750,000
4000 (km)
2025-12-14","Rs. 6,750,000",2024,15
"Toyota Vitz SCP90 ILL 2008 Car
Negombo
Rs. 6,390,000
133000 (km)
2025-12-12","Rs. 6,390,000",2008,15
"Toyota Axio 141 2010 Car
Rajagiriya
Rs. 7,800,000
207000 (km)
2025-12-11","Rs. 7,800,000",2010,15
"Honda Civic EX Tech Pack 2018 Car
Dehiwala-Mount-Lavinia
Rs. 13,000,000
58400 (km)
2025-12-09","Rs. 13,000,000",2018,15
"Dehiwala-Mount-Lavinia
Rs. 13,000,000
58400 (km)
2025-12-09","Rs. 13,000,000",2025,15
"Toyota Axio G Grade 2015 Car
Ambalangoda
Rs. 10,900,000
180000 (km)
2025-12-14","Rs. 10,900,000",2015,15
"Suzuki Maruti 800 2007 Car
Matara
Rs. 2,075,000
53765 (km)
2025-12-14","Rs. 2,075,000",2007,15
"Toyota Vitz Edition 3 2016 Car
Kandy
Rs. 7,500,000
67000 (km)
2025-12-14","Rs. 7,500,000",2016,15
"Toyota Vitz Edition 3 2019 Car
Kalmunai
Rs. 8,800,000
72000 (km)
2025-12-14","Rs. 8,800,000",2019,15
"Micro Panda Cross 2015 Car
Panadura
Rs. 3,595,000
2025-12-14","Rs. 3,595,000",2015,15
"Suzuki Maruti 2006 Car
Galle
Rs. 1,790,000
80000 (km)
2025-12-14","Rs. 1,790,000",2006,15
"Suzuki Wagon R 2016 Car
Matara
Rs. 5,700,000
133000 (km)
2025-12-14","Rs. 5,700,000",2016,15
"Toyota Premio 2013 Car
Katunayake
Rs. 13,200,000
90000 (km)
2025-12-14","Rs. 13,200,000",2013,15
"Suzuki Wagon R Stingray J Style 2015 Car
Kalutara
Rs. 5,400,000
73000 (km)
2025-12-14","Rs. 5,400,000",2015,15
"Honda City Rs Turbo 2025 Car
Nugegoda
Rs. 13,900,000
2025-12-14","Rs. 13,900,000",2025,15
"Home / All Ads / Car
Displaying 600 - 640 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Toyota Premi","Rs. 8,900,000",2007,16
"Home / All Ads / Car
Displaying 600 - 640 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Toyota Premi","Rs. 8,900,000",2007,16
"Toyota Premio 2007 Car
Colombo
Rs. 8,900,000
215000 (km)
2025-12-06","Rs. 8,900,000",2007,16
"Nissan Cefiro J31 2008 Car
Colombo
Rs. 5,850,000
162000 (km)
2025-12-08","Rs. 5,850,000",2008,16
"Toyota Axio 141 2010 Car
Rajagiriya
Rs. 7,800,000
207000 (km)
2025-12-11","Rs. 7,800,000",2010,16
"Daihatsu Mira L SA3 Import 2024 Car
Colombo
Rs. 5,950,000
5000 (km)
2025-12-14","Rs. 5,950,000",2024,16
"Toyota Yaris 2023 Car
Negombo
Rs. 9,050,000
38200 (km)
2025-12-14","Rs. 9,050,000",2023,16
"Nissan ROOX HIGHWAY STAR SAFETY 2023 Car
Colombo
Rs. 8,495,000
13997 (km)
2025-12-14","Rs. 8,495,000",2023,16
"Suzuki Maruti 2010 Car
Gampaha
Rs. 2,390,000
85000 (km)
2025-12-14","Rs. 2,390,000",2010,16
"Perodua Viva Elite 2011 Car
Galle
Rs. 4,525,000
135000 (km)
2025-12-14","Rs. 4,525,000",2011,16
"Hyundai Eon 2015 Car
Horana
Rs. 4,185,000
153752 (km)
2025-12-14","Rs. 4,185,000",2015,16
"BMW 523i Rare Spec 2010 Car
Moratuwa
Rs. 16,800,000
128000 (km)
2025-12-14","Rs. 16,800,000",2010,16
"Nissan B211 1977 Car
Kandy
Rs. 860,000
100000 (km)
2025-12-14","Rs. 860,000",1977,16
"Toyota Yaris G Grade 2024 Car
Wennappuwa
Rs. 10,400,000
7200 (km)
2025-12-14","Rs. 10,400,000",2024,16
"Audi A3 2017 Car
Maharagama
Rs. 13,500,000
70000 (km)
2025-12-14","Rs. 13,500,000",2017,16
"Suzuki Wagon R Stingray 2018 Car
Jaffna
Rs. 7,300,000
93000 (km)
2025-12-14","Rs. 7,300,000",2018,16
"Daihatsu MIRA ES X LIMITED 2024 Car
Tangalle
Rs. 7,150,000
3500 (km)
2025-12-14","Rs. 7,150,000",2024,16
"Home / All Ads / Car
Displaying 640 - 680 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Daihatsu MIR","Rs. 6,550,000",2024,17
"Home / All Ads / Car
Displaying 640 - 680 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Daihatsu MIR","Rs. 6,550,000",2024,17
"Daihatsu MIRA 2024 Car
Kandy
Rs. 6,550,000
9 (km)
2025-12-06","Rs. 6,550,000",2024,17
"Toyota YARIS X GRADE 2024 Car
Kaduwela
Rs. 9,625,000
3500 (km)
2025-12-11","Rs. 9,625,000",2024,17
"Honda Civic FD3 2008 Car
Kottawa
Rs. 6,790,000
301000 (km)
2025-12-12","Rs. 6,790,000",2008,17
"Toyota Vitz 2018 Car
Kurunegala
Rs. 7,900,000
110000 (km)
2025-12-08","Rs. 7,900,000",2018,17
"Nissan FB13 1992 Car
Battaramulla
Rs. 2,250,000
2025-12-14","Rs. 2,250,000",1992,17
"Toyota Fielder WXB 2017 Car
Kesbewa
Rs. 12,000,000
109000 (km)
2025-12-14","Rs. 12,000,000",2017,17
"Toyota Vitz Safety 2 2018 Car
Kelaniya
Rs. 7,950,000
83000 (km)
2025-12-14","Rs. 7,950,000",2018,17
"Suzuki Wagon R Stingray 2016 Car
Colombo
Rs. 5,950,000
96000 (km)
2025-12-14","Rs. 5,950,000",2016,17
"Toyota Yaris Cross Z 2023 Car
Nittambuwa
Rs. 15,750,000
20700 (km)
2025-12-14","Rs. 15,750,000",2023,17
"Tata Indica 2006 Car
Kottawa
Rs. 1,975,000
80000 (km)
2025-12-14","Rs. 1,975,000",2006,17
"Nissan Tiida Latio 2008 Car
Negombo
Rs. 5,450,000
112071 (km)
2025-12-14","Rs. 5,450,000",2008,17
"Honda Fit Aria 2007 Car
Nugegoda
Rs. 5,800,000
148000 (km)
2025-12-14","Rs. 5,800,000",2007,17
"Suzuki CELERIO 2015 Car
Kaduwela
Rs. 5,150,000
117500 (km)
2025-12-14","Rs. 5,150,000",2015,17
"Nissan Sunny FB15 2001 Car
Nugegoda
Rs. 4,490,000
181000 (km)
2025-12-14","Rs. 4,490,000",2001,17
"Suzuki A-star 2012 Car
Anuradapura
Rs. 4,900,000
110000 (km)
2025-12-14","Rs. 4,900,000",2012,17
"Home / All Ads / Car
Displaying 680 - 720 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Micro Panda ","Rs. 4,475,000",2017,18
"Home / All Ads / Car
Displaying 680 - 720 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Micro Panda ","Rs. 4,475,000",2017,18
"Micro Panda Cross 2017 Car
Moratuwa
Rs. 4,475,000
60100 (km)
2025-12-06","Rs. 4,475,000",2017,18
"Toyota Vitz 2016 Car
Nugegoda
Rs. 7,100,000
140000 (km)
2025-12-13","Rs. 7,100,000",2016,18
"Daihatsu Mira L SA3 Import 2024 Car
Colombo
Rs. 5,950,000
5000 (km)
2025-12-14","Rs. 5,950,000",2024,18
"Daihatsu MiraL GradeRear Wiper 2024 Car
Gampaha
Rs. 6,090,000
7965 (km)
2025-12-06","Rs. 6,090,000",2024,18
"Mazda 3 2007 Car
Wattala
Rs. 5,700,000
148500 (km)
2025-12-14","Rs. 5,700,000",2007,18
"Suzuki Zen Estilo 2011 Car
Malabe
Rs. 3,890,000
117450 (km)
2025-12-14","Rs. 3,890,000",2011,18
"Toyota Passo 2010 Car
Nugegoda
Rs. 5,200,000
132000 (km)
2025-12-14","Rs. 5,200,000",2010,18
"Suzuki Wagon R FX 2016 Car
Gampaha
Rs. 5,225,000
140000 (km)
2025-12-14","Rs. 5,225,000",2016,18
"Honda Insight 2009 Car
Matara
Rs. 7,250,000
178000 (km)
2025-12-14","Rs. 7,250,000",2009,18
"Toyota Vitz KSP130 Safety 2017 Car
Mulleriyawa
Rs. 7,875,000
92000 (km)
2025-12-14","Rs. 7,875,000",2017,18
"Perodua Viva Elite 2011 Car
Tangalle
Rs. 4,100,000
155000 (km)
2025-12-14","Rs. 4,100,000",2011,18
"Toyota Carina CT190 1993 Car
Kalutara
Rs. 2,575,000
235000 (km)
2025-12-14","Rs. 2,575,000",1993,18
"Toyota PREMIO 2016 Car
Kandy
Rs. 14,800,000
140000 (km)
2025-12-14","Rs. 14,800,000",2016,18
"Toyota Vitz 2016 Car
Colombo
Rs. 7,325,000
125000 (km)
2025-12-14","Rs. 7,325,000",2016,18
"Mercedes-Benz W123 200D 1977 Car
Panadura
Rs. 2,200,000
250000 (km)
2025-12-14","Rs. 2,200,000",1977,18
"Home / All Ads / Car
Displaying 720 - 760 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Suzuki WAGON","Rs. 7,125,000",2024,19
"Home / All Ads / Car
Displaying 720 - 760 of 24204 Search Results
Previous
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
...606
Next
Suzuki WAGON","Rs. 7,125,000",2024,19
"Suzuki WAGON R FX SAFETY 2024 Car
Veyangoda
Rs. 7,125,000
13400 (km)
2025-12-10","Rs. 7,125,000",2024,19
"Suzuki WAGON R CUSTOM Z 2025 Car
Colombo
Rs. 7,750,000
2025-12-09","Rs. 7,750,000",2025,19
"Toyota Allion 240 2003 Car
Kandy
Rs. 6,850,000
250000 (km)
2025-12-12","Rs. 6,850,000",2003,19
"Suzuki Maruti 2011 Car
Kandy
Rs. 2,325,000
69000 (km)
2025-12-14","Rs. 2,325,000",2011,19
"Suzuki Wagon R FZ Safety 2017 Car
Kurunegala
Rs. 6,350,000
113000 (km)
2025-12-14","Rs. 6,350,000",2017,19
"Mitsubishi 4DR 1990 Car
Polgahawela
Rs. 800,000
716184 (km)
2025-12-14","Rs. 800,000",1990,19
"Suzuki Alto K10 2012 Car
Kegalle
Rs. 3,700,000
3700000 (km)
2025-12-14","Rs. 3,700,000",2012,19
"Toyota Corolla 121 G Grade 2005 Car
Kolonnawa
Rs. 6,885,000
175000 (km)
2025-12-14","Rs. 6,885,000",2005,19
"Hyundai Sonata Gls 2000 Car
Kaduwela
Rs. 2,675,000
110000 (km)
2025-12-14","Rs. 2,675,000",2000,19
"Suzuki SWIFT RS TURBO SAFETY 2019 Car
Colombo
Rs. 9,650,000
62000 (km)
2025-12-14","Rs. 9,650,000",2019,19
"Suzuki Alto 2015 Car
Kurunegala
Rs. 3,740,000
112000 (km)
2025-12-14","Rs. 3,740,000",2015,19
"Micro Panda 2012 Car
Panadura
Rs. 2,650,000
88000 (km)
2025-12-14","Rs. 2,650,000",2012,19
"Suzuki SWIFT RS TURBO SAFETY 2018 Car
Colombo
Rs. 9,275,000
89000 (km)
2025-12-14","Rs. 9,275,000",2018,19
"Toyota PASSO 2007 Car
Gampaha
Rs. 4,750,000
168000 (km)
2025-12-14","Rs. 4,750,000",2007,19
"Toyota Vitz KSP130 2016 Car
Battaramulla
Rs. 6,990,000
113200 (km)
2025-12-14","Rs. 6,990,000",2016,19
"Home / All Ads / Car
Displaying 760 - 800 of 24204 Search Results
Previous
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
...606
Next
Toyota Axio","Rs. 10,900,000",2015,20
"Home / All Ads / Car
Displaying 760 - 800 of 24204 Search Results
Previous
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
...606
Next
Toyota Axio","Rs. 10,900,000",2015,20
"Toyota Axio G Grade 2015 Car
Ambalangoda
Rs. 10,900,000
180000 (km)
2025-12-14","Rs. 10,900,000",2015,20
"Suzuki Wagon R 2024 Car
Kurunegala
Rs. 7,550,000
2000 (km)
2025-12-10","Rs. 7,550,000",2024,20
"Suzuki Spacia Flair Wagon Custom Styl 2024 Car
Colombo
Rs. 9,000,000
8716 (km)
2025-12-14","Rs. 9,000,000",2024,20
"Toyota Allion 260 G Grade 2008 Car
Kurunegala
Rs. 8,350,000
201500 (km)
2025-12-05","Rs. 8,350,000",2008,20
"Nissan Sunny FB15 1999 Car
Kandy
Rs. 4,000,000
120000 (km)
2025-12-14","Rs. 4,000,000",1999,20
"Toyota Vitz Ksp90 2007 Car
Ratnapura
Rs. 5,675,000
173000 (km)
2025-12-14","Rs. 5,675,000",2007,20
"Suzuki Alto 800 2015 Car
Boralesgamuwa
Rs. 3,690,000
81000 (km)
2025-12-14","Rs. 3,690,000",2015,20
"Suzuki Alto Lxi 2018 Car
Kaduwela
Rs. 4,290,000
91751 (km)
2025-12-14","Rs. 4,290,000",2018,20
"Suzuki Alto Lxi 2015 Car
Nugegoda
Rs. 3,690,000
141240 (km)
2025-12-14","Rs. 3,690,000",2015,20
"Honda N Wgn Custom Turbo 2016 Car
Kaduwela
Rs. 6,590,000
92106 (km)
2025-12-14","Rs. 6,590,000",2016,20
"Suzuki CELERIO X ZXI 2018 Car
Ja-Ela
Rs. 5,825,000
81500 (km)
2025-12-14","Rs. 5,825,000",2018,20
"Suzuki Wagon R Custom Z HUD 2025 Car
Nittambuwa
Rs. 8,750,000
245 (km)
2025-12-14","Rs. 8,750,000",2025,20
"Chery Qq 2006 Car
Kurunegala
Rs. 1,390,000
90000 (km)
2025-12-14","Rs. 1,390,000",2006,20
"Honda Grace Ex 2016 Car
Colombo
Rs. 9,600,000
112000 (km)
2025-12-14","Rs. 9,600,000",2016,20
"Suzuki SWIFT 2006 Car
Kandy
Rs. 4,550,000
1 (km)
2025-12-14","Rs. 4,550,000",2006,20
"Home / All Ads / Car
Displaying 800 - 840 of 24204 Search Results
Previous
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
...606
Next
Toyota Pri","Rs. 9,490,000",2011,21
"Home / All Ads / Car
Displaying 800 - 840 of 24204 Search Results
Previous
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
...606
Next
Toyota Pri","Rs. 9,490,000",2011,21
"Toyota Prius 3 2011 Car
Gampaha
Rs. 9,490,000
172000 (km)
2025-12-05","Rs. 9,490,000",2011,21
"Toyota PASSO 2009 Car
Dompe
Rs. 5,250,000
116500 (km)
2025-12-10","Rs. 5,250,000",2009,21
"Toyota Axio G Grade 2014 Car
Gampaha
Rs. 9,400,000
161000 (km)
2025-12-14","Rs. 9,400,000",2014,21
"Honda Fit GP5 S Grade 2013 Car
Kadawatha
Rs. 7,690,000
140000 (km)
2025-12-14","Rs. 7,690,000",2013,21
"Toyota Vitz 2019 Car
Nittambuwa
Rs. 8,300,000
140000 (km)
2025-12-14","Rs. 8,300,000",2019,21
"Toyota Axio G 2008 Car
Pannipitiya
Rs. 7,500,000
179000 (km)
2025-12-14","Rs. 7,500,000",2008,21
"Nissan March K11 1996 Car
Gampaha
Rs. 2,275,000
245647 (km)
2025-12-14","Rs. 2,275,000",1996,21
"Nissan Highway StaR 2016 Car
Horana
Rs. 6,350,000
100222 (km)
2025-12-14","Rs. 6,350,000",2016,21
"Toyota Passo 2017 Car
Peliyagoda
Rs. 6,750,000
76000 (km)
2025-12-14","Rs. 6,750,000",2017,21
"Nissan FB15 2004 Car
Ja-Ela
Rs. 4,300,000
215000 (km)
2025-12-14","Rs. 4,300,000",2004,21
"Honda Fit Shuttle GP2 2012 Car
Pannipitiya
Rs. 8,750,000
153823 (km)
2025-12-14","Rs. 8,750,000",2012,21
"Toyota Aqua Eagle Eye 2017 Car
Colombo
Rs. 9,700,000
57000 (km)
2025-12-14","Rs. 9,700,000",2017,21
"Micro Panda Cross 2016 Car
Gampaha
Rs. 3,590,000
89125 (km)
2025-12-14","Rs. 3,590,000",2016,21
"Honda Civic EX Modified 2017 Car
Piliyandala
Rs. 12,975,000
69000 (km)
2025-12-14","Rs. 12,975,000",2017,21
"Suzuki Alto LXI 2010 Car
Horana
Rs. 3,120,000
32000 (km)
2025-12-14","Rs. 3,120,000",2010,21
"Home / All Ads / Car
Displaying 840 - 880 of 24204 Search Results
Previous
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
...606
Next
Suzuki Wa","Rs. 7,550,000",2024,22
"Home / All Ads / Car
Displaying 840 - 880 of 24204 Search Results
Previous
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
...606
Next
Suzuki Wa","Rs. 7,550,000",2024,22
"Suzuki Wagon R 2024 Car
Kurunegala
Rs. 7,550,000
2000 (km)
2025-12-10","Rs. 7,550,000",2024,22
"Suzuki Wagon R Stingray 2015 Car
Bentota
Rs. 5,950,000
194000 (km)
2025-12-10","Rs. 5,950,000",2015,22
"Audi A5 S-Line Sportback 2018 Car
Boralesgamuwa
Rs. 20,000,000
120000 (km)
2025-12-10","Rs. 20,000,000",2018,22
"Boralesgamuwa
Rs. 20,000,000
120000 (km)
2025-12-10","Rs. 20,000,000",2025,22
"Honda CIVIC 2008 Car
Malabe
Rs. 7,895,000
124492 (km)
2025-12-14","Rs. 7,895,000",2008,22
"Toyota Axio X Limited 2011 Car
Kaduwela
Rs. 7,800,000
160000 (km)
2025-12-14","Rs. 7,800,000",2011,22
"Toyota Aqua 2013 Car
Gampaha
Rs. 7,480,000
96500 (km)
2025-12-14","Rs. 7,480,000",2013,22
"Honda Civic Sedan Techpack 2019 Car
Maharagama
Rs. 12,800,000
128500 (km)
2025-12-14","Rs. 12,800,000",2019,22
"Daihatsu Taft 2024 Car
Colombo
Rs. 8,025,000
3600 (km)
2025-12-14","Rs. 8,025,000",2024,22
"Tesla MODEL 3 2024 Car
Boralesgamuwa
Rs. 32,500,000
65 (km)
2025-12-14","Rs. 32,500,000",2024,22
"Toyota Vios 2007 Car
Kurunegala
Rs. 5,975,000
12345 (km)
2025-12-14","Rs. 5,975,000",2007,22
"Micro Panda 2015 Car
Wennappuwa
Rs. 2,990,000
81000 (km)
2025-12-14","Rs. 2,990,000",2015,22
"Suzuki Alto Sport 2005 Car
Piliyandala
Rs. 2,950,000
83500 (km)
2025-12-14","Rs. 2,950,000",2005,22
"Toyota Corolla 1994 Car
Malabe
Rs. 2,750,000
168000 (km)
2025-12-14","Rs. 2,750,000",1994,22
"Nissan N16 Super Saloon 2001 Car
Kandy
Rs. 4,025,000
185000 (km)
2025-12-14","Rs. 4,025,000",2001,22
"Home / All Ads / Car
Displaying 880 - 920 of 24204 Search Results
Previous
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
...606
Next
Nissan C","Rs. 5,850,000",2008,23
"Home / All Ads / Car
Displaying 880 - 920 of 24204 Search Results
Previous
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
...606
Next
Nissan C","Rs. 5,850,000",2008,23
"Nissan Cefiro J31 2008 Car
Colombo
Rs. 5,850,000
162000 (km)
2025-12-08","Rs. 5,850,000",2008,23
"Suzuki Spacia Flair Wagon Custom Styl 2024 Car
Colombo
Rs. 9,000,000
8716 (km)
2025-12-14","Rs. 9,000,000",2024,23
"Nissan Sunny 2000 Car
Gampaha
Rs. 4,300,000
180 (km)
2025-12-12","Rs. 4,300,000",2000,23
"Toyota Aqua 2015 Car
Kandy
Rs. 8,250,000
140000 (km)
2025-12-14","Rs. 8,250,000",2015,23
"Nissan CEDRIC Y32 BROUGHAM LUXURY 1994 Car
Kandy
Rs. 5,675,000
140000 (km)
2025-12-14","Rs. 5,675,000",1994,23
"Nissan N16 Ex Saloon 2000 Car
Ratnapura
Rs. 4,095,000
175000 (km)
2025-12-14","Rs. 4,095,000",2000,23
"Micro Panda 2015 Car
Wennappuwa
Rs. 2,990,000
89000 (km)
2025-12-14","Rs. 2,990,000",2015,23
"Suzuki Wagon R STINGRAY 2016 Car
Ambalangoda
Rs. 6,090,000
102000 (km)
2025-12-14","Rs. 6,090,000",2016,23
"Micro Panda 2016 Car
Kalutara
Rs. 3,100,000
92000 (km)
2025-12-14","Rs. 3,100,000",2016,23
"Nissan Trad Sunny 1987 Car
Anuradapura
Rs. 1,695,000
200000 (km)
2025-12-14","Rs. 1,695,000",1987,23
"Toyota Corolla 121 2004 Car
Kiribathgoda
Rs. 5,250,000
164000 (km)
2025-12-14","Rs. 5,250,000",2004,23
"Nissan Bluebird 2000 Car
Ratnapura
Rs. 3,450,000
141000 (km)
2025-12-14","Rs. 3,450,000",2000,23
"Nissan AB13 1992 Car
Malabe
Rs. 2,750,000
172000 (km)
2025-12-14","Rs. 2,750,000",1992,23
"Perodua Axia 2015 Car
Hikkaduwa
Rs. 5,400,000
136000 (km)
2025-12-14","Rs. 5,400,000",2015,23
"Honda FIT GP5 2015 Car
Colombo
Rs. 7,700,000
105000 (km)
2025-12-14","Rs. 7,700,000",2015,23
"Home / All Ads / Car
Displaying 920 - 960 of 24203 Search Results
Previous
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
...606
Next
Toyota ","Rs. 9,750,000",2022,24
"Home / All Ads / Car
Displaying 920 - 960 of 24203 Search Results
Previous
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
...606
Next
Toyota ","Rs. 9,750,000",2022,24
"Toyota Yaris G 2022 Car
Kandy
Rs. 9,750,000
24000 (km)
2025-12-06","Rs. 9,750,000",2022,24
"Toyota Premio 2007 Car
Colombo
Rs. 8,900,000
215000 (km)
2025-12-06","Rs. 8,900,000",2007,24
"Toyota YARIS X GRADE 2024 Car
Kaduwela
Rs. 9,625,000
3500 (km)
2025-12-11","Rs. 9,625,000",2024,24
"Toyota Corolla AE110 1996 Car
Homagama
Rs. 3,700,000
110000 (km)
2025-12-14","Rs. 3,700,000",1996,24
