Make,Model,YOM,Price,Mileage,Engine CC,Fuel Type,URL
suzuki,N/A,2023,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Wagon R ZX 2023 Car Unregistered (Recondition)Posted by Niyazi on 2025-12-14 1:40 pm Colombo< BackContact077 781 2053Price 8650000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelWagon R ZXYOM2023Mileage (km)12000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)660Details🏎️Wagon R Custom ZX 2024 Unregistered🏎️Radar Break/ Safety🏎️Cruise Control🏎️HUD Head Up Display🏎️Vehicle Sensing Option🏎️Just 12000KM🏎️black Color🏎️Corner Sensors🏎️Push Start🏎️Seat Heater🏎️Charging ports🏎️Parking Sensor🏎️Lane Departure🏎️Traction Control🏎️Headlights Adjustments🏎️Safety On/Off🏎️Storable Bucket🏎️Adjustable Headrests🏎️Alloy Wheels🏎️Spoiler🏎️Umbrella Holder🏎️Dual Multifunctions🏎️Arm Rest🏎️Nickel Chrome Shell🏎️Push Start🏎️Land Departure🏎️Idle Stop🏎️Retractable Side Mirrors🏎️Slippery Road Side Assist📞0777812053📞0777816943VISIT US ATNO-24 S DE S JAYASINGHE MAWATHA KALUBOWILA DEHIWALACOLOMBOLOCATIONTIP TOP TRADERS https://g.co/kgs/yM389P26 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Wagon R ZX Cars in Sri LankaSuzuki Wagon R ZX 2023 Cars in Sri LankaSuzuki Wagon R ZX Cars in Colombo Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-10893323
honda,N/A,2017,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsHonda Dio 2017 Motorbike (Used)Posted by Mohammed Rikas on 2025-12-14 2:13 pm Kurunegala< BackContact076 060 9798Price 475000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.2146 සිට ලීසිං පහසුකම්.MakeHondaModelDioYOM2017Mileage (km)0Engine (cc)110Start TypeKick / ElectricDetails1st ownergood coundicanself.....workbattre.........90%All Document.....clearwariyapolaTEL......07798999785 Views⚠Report a Problem☆Save Ad to FavoriteHonda Motorbikes in Sri LankaHonda Dio Motorbikes in Sri LankaHonda Dio 2017 Motorbikes in Sri LankaHonda Dio Motorbikes in Kurunegala Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,110,N/A,https://riyasewana.com/buy/honda-dio-sale-kurunegala-10893483
hero,N/A,2016,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsHero Dash 2016 Motorbike (Used)Posted by Lareef on 2025-12-14 2:05 pm Kurunegala< BackContact076 120 1416Price 268000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.2146 සිට ලීසිං පහසුකම්.MakeHeroModelDashYOM2016Mileage (km)38000Engine (cc)110Start TypeKick / ElectricDetailsLady used1st ownerGood conditionAll documents are clearAll functions are workingBoth tyres goodLicense insurance update 2026Kurunegala town4 Views⚠Report a Problem☆Save Ad to FavoriteHero Motorbikes in Sri LankaHero Dash Motorbikes in Sri LankaHero Dash 2016 Motorbikes in Sri LankaHero Dash Motorbikes in Kurunegala Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,110,N/A,https://riyasewana.com/buy/hero-dash-sale-kurunegala-10893446
isuzu,N/A,1980,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsIsuzu ELF 250 10.5 1980 Lorry (Used)Posted by Thilanka Amarawickrama on 2025-12-14 2:13 pm Hambantota< BackContact077 730 0839Price 1090000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1949 සිට ලීසිං පහසුකම්.MakeIsuzuModelELF 250 10.5YOM1980Mileage (km)55555GearManualFuel TypeDieselOptions-Engine (cc)2500DetailsC24010 Views⚠Report a Problem☆Save Ad to FavoriteIsuzu Lorries in Sri LankaIsuzu ELF 250 10.5 Lorries in Sri LankaIsuzu ELF 250 10.5 1980 Lorries in Sri LankaIsuzu ELF 250 10.5 Lorries in Hambantota Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/isuzu-isuzu-elp-sale-hambantota-10893481
suzuki,N/A,2018,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Spacia Custom Xs Safety Turbo 2018 Car (Used)Posted by Gayani on 2025-12-14 1:25 pm Kurunegala< BackContact070 200 8129Price 7725000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelSpacia Custom Xs Safety TurboYOM2018Mileage (km)83000GearAutomaticFuel TypeHybridOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)650Details1st owner(registered owner )Full optionHead up displayDual side auto door6 air bag4way camaraParking sencerTraction controlPadel shiftCruise controlAnroid playerAuto lightAuto head lightLane depaturAuto brake2018/2018Home useGood condition52 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Spacia Custom Xs Safety Turbo Cars in Sri LankaSuzuki Spacia Custom Xs Safety Turbo 2018 Cars in Sri LankaSuzuki Spacia Custom Xs Safety Turbo Cars in Kurunegala Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-spacia-custom-sale-kurunegala-10893249
toyota,N/A,1994,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota Dolphin 1994 Van (Used)Posted by Dineskaran on 2025-12-14 2:05 pm Avissawella< BackContact075 598 3848Price 8700000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelDolphinYOM1994Mileage (km)0GearManualFuel TypeDieselOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)2770Detailsgood running conditionduwel ac wedabodi peeli100%gana venasak Karaganna puluwan22 Views⚠Report a Problem☆Save Ad to FavoriteToyota Vans in Sri LankaToyota Dolphin Vans in Sri LankaToyota Dolphin 1994 Vans in Sri LankaToyota Dolphin Vans in Avissawella Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-dolphin-sale-avissawella-10893442
daihatsu,N/A,2023,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsPremium AdDaihatsu Mira X Limited LED Version 2023 Car Unregistered (Recondition)Posted by Indula on 2025-12-14 8:26 am Colombo< BackContact077 739 3699Price 6650000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeDaihatsuModelMira X Limited LED VersionYOM2023Mileage (km)10000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)650DetailsDaihatsu Mira Safety X Limited 2023LED auto head lampsFactory fitted reverse camera with LED screenOriginal Front CamDigital display meter boardRear wiperNickel platted door handlesRetractable power mirrorsRear Headrestquick sale66/5007773936990️⃣7️⃣7️⃣7️⃣ 3️⃣9️⃣3️⃣ 6️⃣9️⃣9️⃣86 Views⚠Report a Problem☆Save Ad to FavoriteDaihatsu Cars in Sri LankaDaihatsu Mira X Limited LED Version Cars in Sri LankaDaihatsu Mira X Limited LED Version 2023 Cars in Sri LankaDaihatsu Mira X Limited LED Version Cars in Colombo Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/daihatsu-mira-x-sale-colombo-10891086
suzuki,N/A,2016,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Spacia Custom Turbo 2016 Car (Used)Posted by Aakif Manahil on 2025-12-14 1:24 pm Nittambuwa< BackContact077 399 7394Price 6325000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelSpacia Custom TurboYOM2016Mileage (km)100850GearAutomaticFuel TypeHybridOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)650DetailsSuzuki Spacia Custom TurboPrice can be negotiable after inspectionYOM:2016YOR:2018Geniune Milege:100800Push StartAndriod Setup with bird eye camera & sensorSafety brake systemCruise ControlLane departure warningPaddle ShiftDual side multifunction steeringSmart keyKeyless entry & fog lampsLed scoop head lights & Led fog lightsLed day lightAuto Retract winker mirrors power doorRemote power slidingDual  side rear curtainAlloy wheelsFront Arm restFabric seatsRear SpoilerSide skirtsEngine idle stop optionSeat heater and many  more optionsVehicle is in mint condition27 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Spacia Custom Turbo Cars in Sri LankaSuzuki Spacia Custom Turbo 2016 Cars in Sri LankaSuzuki Spacia Custom Turbo Cars in Nittambuwa Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-spacia-custom-sale-nittambuwa-10893237
kia,N/A,2017,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsKia Picanto 2017 Car (Used)Posted by K Alex Suraj Perera on 2025-12-14 1:35 pm Katunayake< BackContact077 320 5920Price 6450000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeKiaModelPicantoYOM2017Mileage (km)49000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)998DetailsKIA Picanto facelift 2017 registered year 2018 only one owner all service and maintenance throughout kia company original km done 46000 done 2nd key available 100% original paint vehicle can see at A S Motor traders katunayake close to highway exit 800m ☎️ 077320592018 Views⚠Report a Problem☆Save Ad to FavoriteKia Cars in Sri LankaKia Picanto Cars in Sri LankaKia Picanto 2017 Cars in Sri LankaKia Picanto Cars in Katunayake Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/kia-picanto-sale-katunayake-10893297
toyota,N/A,2008,N/A,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-vitz-sale-polonnaruwa-10893293
toyota,N/A,2011,N/A,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-allion-260-sale-kurunegala-10893312
toyota,N/A,2000,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota Coaster 2000 Bus (Used)Posted by ARUNA on 2025-12-14 2:05 pm Matara< BackContact077 921 9537Price 9800000MakeToyotaModelCoasterYOM2000Mileage (km)393890GearManualFuel TypeDieselOptionsAIR CONDITION POWER STEERINGEngine (cc)3660Details🔶️Toyota coaster🔶️Brand new imported🔶️Seats 26🔶️14 B manual pumb engin🔶️Adjustable seats/ balconyseats🔶️Original tin body🔶️New paint🔶️All new original tyres andbattery🔶️Tv reverse camera subwoofer🔶️Excellent condition🔶️0779219537/0717571826🔶️Walasmulla14 Views⚠Report a Problem☆Save Ad to FavoriteToyota Buses in Sri LankaToyota Coaster Buses in Sri LankaToyota Coaster 2000 Buses in Sri LankaToyota Coaster Buses in Matara Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-coaster-sale-matara-10893445
suzuki,N/A,2018,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Alto Japan Turbo RS 2018 Car (Used)Posted by Akila on 2025-12-14 1:32 pm Kottawa< BackContact071 920 8720Price 5790000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelAlto Japan Turbo RSYOM2018Mileage (km)103000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)660DetailsJapan Alto Turbo RSManufacturing 2015Register 20181st OwnerSafetyTurboPush startReverse CameraFactory filted allow wheelsFog lightsSpoilerRear viperAccident freeRunning 100%Full option57.90 Slightly Negotiable071920872051 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Alto Japan Turbo RS Cars in Sri LankaSuzuki Alto Japan Turbo RS 2018 Cars in Sri LankaSuzuki Alto Japan Turbo RS Cars in Kottawa Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-alto-japan-sale-kottawa-10893286
bajaj,N/A,2012,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsBajaj CT-100 2012 Motorbike (Used)Posted by Mohomed Yoosuf on 2025-12-14 2:12 pm Negombo< BackContact076 883 1913Price 298000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.2146 සිට ලීසිං පහසුකම්.MakeBajajModelCT-100YOM2012Mileage (km)12345Engine (cc)100Start TypeKickDetailsBajaj CT 100 2012Engine 💯Condition 💯Running 💯Both Tyres Are GoodBettery GoodDocuments ClearedMore Details Contact Me07688319133 Views⚠Report a Problem☆Save Ad to FavoriteBajaj Motorbikes in Sri LankaBajaj CT-100 Motorbikes in Sri LankaBajaj CT-100 2012 Motorbikes in Sri LankaBajaj CT-100 Motorbikes in Negombo Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,100,N/A,https://riyasewana.com/buy/bajaj-ct-100-sale-negombo-10893479
tvs,N/A,2024,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsTVS Ntorq 2024 Motorbike (Used)Posted by Saman on 2025-12-14 2:05 pm Negombo< BackContact075 879 5485Price 695000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.2146 සිට ලීසිං පහසුකම්.MakeTVSModelNtorqYOM2024Mileage (km)16000Engine (cc)125Start TypeKickDetailsfirst owner9 Views⚠Report a Problem☆Save Ad to FavoriteTVS Motorbikes in Sri LankaTVS Ntorq Motorbikes in Sri LankaTVS Ntorq 2024 Motorbikes in Sri LankaTVS Ntorq Motorbikes in Negombo Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,125,N/A,https://riyasewana.com/buy/tvs-ntorq-sale-negombo-10893443
bajaj,N/A,2015,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsBajaj Pulsar 135 Ls 2015 Motorbike (Used)Posted by J.D. Sasinda on 2025-12-14 2:08 pm Kalutara< BackContact071 044 0455Price 308000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.2146 සිට ලීසිං පහසුකම්.MakeBajajModelPulsar 135 LsYOM2015Mileage (km)65000Engine (cc)135Start TypeKick / ElectricDetailsBajaj Pulsar 135 Ls (2015)Good running & conditionAll documents are clearFull Price 298000Down Payment 80000Self Start & All Light Meter WorkingLicense Insurance Update 2025Location KalutaraUrgentCall me for more details -0710440455 (w.app available)3 Views⚠Report a Problem☆Save Ad to FavoriteBajaj Motorbikes in Sri LankaBajaj Pulsar 135 Ls Motorbikes in Sri LankaBajaj Pulsar 135 Ls 2015 Motorbikes in Sri LankaBajaj Pulsar 135 Ls Motorbikes in Kalutara Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,135,N/A,https://riyasewana.com/buy/bajaj-pulsar-135-sale-kalutara-10893459
suzuki,N/A,2017,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsSuzuki Wagon R Stingray 2017 Car (Used)Posted by Sameera on 2025-12-14 1:35 pm Kadawatha< BackContact077 535 4335Price 6500000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeSuzukiModelWagon R StingrayYOM2017Mileage (km)84000GearAutomaticFuel TypeHybridOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)650Details2017-2018CAZ2nd owneraccident free 100%original paintoriginal mailege 84000යක්කල තියෙන්නේ62 Views⚠Report a Problem☆Save Ad to FavoriteSuzuki Cars in Sri LankaSuzuki Wagon R Stingray Cars in Sri LankaSuzuki Wagon R Stingray 2017 Cars in Sri LankaSuzuki Wagon R Stingray Cars in Kadawatha Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-10893298
toyota,N/A,2017,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota Roomy Custom GT 2017 Car (Used)Posted by Niyazi on 2025-12-14 1:34 pm Colombo< BackContact077 781 2053Price 8390000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelRoomy Custom GTYOM2017Mileage (km)83000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1000Details🔘TOYOTA ROOMY GT CUSTOM TURBO🔘JUST 83000KM🔘SAFETY EDITION AUTO BREAK🔘PUSH START🔘3RD OWNER🔘2017/2020🔘10INCH ANDROID SETUP WITH R CAM🔘RECORDS AVAILABLE WITH IMPORT CERTIFICATE AND JAAI🔘HIGHEST GRADE🔘FULL OPTIONS🔘ATTRACTIVE BLACK COLOR🔘DUAL MULTI FUNCTION🔘REVERSE CAMERA🔘NICKEL HANDLES🔘BOTH SMART KEYS AVAILABLE🔘CRUISE CONTROL🔘DUAL SIDE POWER DOOR🔘SEAT HEATERS🔘LAND DEPATURES🔘AUTO LED LIGHTS🔘BODY KIT🔘ORIGINAL JAPAN SETUP WITH TV/ NAVI STEREO🔘FOG LIGHT🔘IDLING STOP🔘TOUCH AC🔘ORIGINAL CARPETS🔘REAR WIPER🔘ORIGINAL ALLOYS🔘WINKER MIRROR📞077781205348 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Roomy Custom GT Cars in Sri LankaToyota Roomy Custom GT 2017 Cars in Sri LankaToyota Roomy Custom GT Cars in Colombo Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-roomy-custom-sale-colombo-10893292
peugeot,N/A,2003,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsPeugeot 406 2003 Car (Used)Posted by Autolanka on 2025-12-14 2:11 pm Homagama< BackContact076 723 6735Price 2975000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakePeugeotModel406YOM2003Mileage (km)1234GearManualFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)-DetailsPrice 2975000/-Leasing can be arrangePeugeot 406Full option manual2000/2003Location kottawa32 Views⚠Report a Problem☆Save Ad to FavoritePeugeot Cars in Sri LankaPeugeot 406 Cars in Sri LankaPeugeot 406 2003 Cars in Sri LankaPeugeot 406 Cars in Homagama Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/peugeot-peugeot-406-sale-homagama-10893473
toyota,N/A,2014,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota Aqua Prius C 2014 Car (Used)Posted by Ahamed on 2025-12-14 1:37 pm Colombo< BackContact077 693 3922Price 8000000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelAqua Prius CYOM2014Mileage (km)86400GearAutomaticFuel TypeHybridOptionsAIR CONDITIONPOWER STEERINGPOWER MIRRORPOWER WINDOWEngine (cc)1500DetailsToyota Aqua 2014 (Prius C)Brand New ImportedFirst OwnerCAC-xxxx1.5L Hybrid86400 kmIntelligent KeyDual MultifunctionCruise ControlDVD Reverse CameraScoop LightsFog lampsRear Spoiler15 Inch Alloy WheelsCar In Immaculate ConditionPlease Call Us For More Information -0776 93392228 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Aqua Prius C Cars in Sri LankaToyota Aqua Prius C 2014 Cars in Sri LankaToyota Aqua Prius C Cars in Colombo Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-aqua-prius-sale-colombo-10893310
toyota,N/A,2018,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota Premio G SUPERIOR 2018 Car (Used)Posted by RAVINDU on 2025-12-14 1:39 pm Matara< BackContact076 166 1160Price 16250000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelPremio G SUPERIORYOM2018Mileage (km)80000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1500Details1ST OWNER2018/201880000KMTOYOTA LANKA SERVICE RECORD AVAILABLECBFELECTRIC SHEETREAR WIPERදුම් වාර්තා සියල්ල සහිත අනර්ඝ මෝටර් රථයක්38 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Premio G SUPERIOR Cars in Sri LankaToyota Premio G SUPERIOR 2018 Cars in Sri LankaToyota Premio G SUPERIOR Cars in Matara Sri LankaPlayadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-premio-g-sale-matara-10893321
toyota,N/A,2023,Post Free Vehicle AdLoginEdit My AdLeasing OfferContact UsContributeBuyCarsBuySUVsBuyVansBuyMotorbikesBuyLorriesBuyThree WheelBuyPickupsBuyHeavy-DutyBuySpare PartsToyota Roomy Custom GT 2023 Car Unregistered (Recondition)Posted by Niyazi on 2025-12-14 2:12 pm Colombo< BackContact077 781 2053Price 11490000Get LeasingCentral Finance වෙතින් මාසික වාරිකය රු.1885 සිට ලීසිං පහසුකම්.MakeToyotaModelRoomy Custom GTYOM2023Mileage (km)22000GearAutomaticFuel TypePetrolOptionsAIR CONDITION POWER STEERING POWER MIRROR POWER WINDOWEngine (cc)1000Details🏎️TOYOTA ROOMY GT CUSTOM TURBOUNREGISTERED🏎️SAFETY EDITION AUTO BREAK🏎️GR-SPORT BODY KITS🏎️SPOILER🏎️NICKEL CHROME DOOR HANDLES🏎️22000KM DONE🏎️PEARL WHITE EXTERIOR🏎️FACTORY FITTED FOUR-WAY CAMERA🏎️FACTORY FITTED VIDEO RECORDER FRONT BACK🏎️FACTORY FITTED CENTRE ARM REST🏎️CHARGING PORTS🏎️USB PORTS🏎️BRAKE HOLD🏎️HAND BRAKE SWITCH🏎️HIGHEST GRADE🏎️CORNER SENSORS🏎️TWO TONE SEATS🏎️FULL OPTIONS🏎️ATTRACTIVE BLUE COLOR🏎️DUAL MULTI FUNCTION🏎️BOTTLE HOLDERS🏎️REAR CURTAINS🏎️BOTH SMART KEYS AVAILABLE🏎️CRUISE CONTROL🏎️DUAL SIDE POWER DOOR🏎️SEAT HEATERS🏎️LAND DEPATURES🏎️AUTO LED LIGHTS🏎️FOG LIGHT🏎️IDLING STOP🏎️TOUCH AC🏎️ORIGINAL CARPETS🏎️REAR WIPER🏎️ORIGINAL ALLOYS🏎️DOOR VISORS🏎️WINKER MIRROR📞0777812053📞0777816943VISIT US ATNO-24 S DE S JAYASINGHE MAWATHA KALUBOWILA DEHIWALACOLOMBOLOCATIONTIP TOP TRADERS https://g.co/kgs/yM389PGet yours now with us!6 Views⚠Report a Problem☆Save Ad to FavoriteToyota Cars in Sri LankaToyota Roomy Custom GT Cars in Sri LankaToyota Roomy Custom GT 2023 Cars in Sri LankaToyota Roomy Custom GT Cars in Colombo Sri Lankaadstudio.cloudCopyright © Riyasewana Lanka (Pvt) Ltd.Terms & Conditions|Privacy Policy,N/A,N/A,N/A,https://riyasewana.com/buy/toyota-roomy-custom-sale-colombo-10893477
